nome_munic,codigo_ibge,nome_drs,cod_drs,pop,pop_60,ano_mes,casos,casos_novos,obitos,obitos_novos
Adamantina,3500105,Marília,5.0,33894.0,7398.0,2020-02,0,0,0,0
Adamantina,3500105,Marília,5.0,33894.0,7398.0,2020-03,0,0,0,0
Adamantina,3500105,Marília,5.0,33894.0,7398.0,2020-04,28,5,0,0
Adamantina,3500105,Marília,5.0,33894.0,7398.0,2020-05,717,34,27,2
Adamantina,3500105,Marília,5.0,33894.0,7398.0,2020-06,163,3,10,1
Adolfo,3500204,São José do Rio Preto,15.0,3447.0,761.0,2020-02,0,0,0,0
Adolfo,3500204,São José do Rio Preto,15.0,3447.0,761.0,2020-03,0,0,0,0
Adolfo,3500204,São José do Rio Preto,15.0,3447.0,761.0,2020-04,1,1,0,0
Adolfo,3500204,São José do Rio Preto,15.0,3447.0,761.0,2020-05,56,2,0,0
Adolfo,3500204,São José do Rio Preto,15.0,3447.0,761.0,2020-06,12,0,0,0
Aguaí,3500303,São João da Boa Vista,14.0,35608.0,5245.0,2020-02,0,0,0,0
Aguaí,3500303,São João da Boa Vista,14.0,35608.0,5245.0,2020-03,0,0,0,0
Aguaí,3500303,São João da Boa Vista,14.0,35608.0,5245.0,2020-04,43,14,2,2
Aguaí,3500303,São João da Boa Vista,14.0,35608.0,5245.0,2020-05,492,16,87,1
Aguaí,3500303,São João da Boa Vista,14.0,35608.0,5245.0,2020-06,144,10,13,1
Agudos,3500709,Bauru,12.0,36134.0,5524.0,2020-02,0,0,0,0
Agudos,3500709,Bauru,12.0,36134.0,5524.0,2020-03,0,0,0,0
Agudos,3500709,Bauru,12.0,36134.0,5524.0,2020-04,152,15,23,1
Agudos,3500709,Bauru,12.0,36134.0,5524.0,2020-05,617,8,31,0
Agudos,3500709,Bauru,12.0,36134.0,5524.0,2020-06,108,9,4,0
Alambari,3500758,Sorocaba,6.0,5779.0,830.0,2020-02,0,0,0,0
Alambari,3500758,Sorocaba,6.0,5779.0,830.0,2020-03,0,0,0,0
Alambari,3500758,Sorocaba,6.0,5779.0,830.0,2020-04,15,1,0,0
Alambari,3500758,Sorocaba,6.0,5779.0,830.0,2020-05,95,3,0,0
Alambari,3500758,Sorocaba,6.0,5779.0,830.0,2020-06,18,1,0,0
Alfredo Marcondes,3500808,Presidente Prudente,2.0,3927.0,907.0,2020-02,0,0,0,0
Alfredo Marcondes,3500808,Presidente Prudente,2.0,3927.0,907.0,2020-03,0,0,0,0
Alfredo Marcondes,3500808,Presidente Prudente,2.0,3927.0,907.0,2020-04,0,0,0,0
Alfredo Marcondes,3500808,Presidente Prudente,2.0,3927.0,907.0,2020-05,23,2,10,1
Alfredo Marcondes,3500808,Presidente Prudente,2.0,3927.0,907.0,2020-06,10,1,4,0
Altair,3500907,Barretos,16.0,4036.0,552.0,2020-02,0,0,0,0
Altair,3500907,Barretos,16.0,4036.0,552.0,2020-03,0,0,0,0
Altair,3500907,Barretos,16.0,4036.0,552.0,2020-04,0,0,0,0
Altair,3500907,Barretos,16.0,4036.0,552.0,2020-05,16,1,0,0
Altair,3500907,Barretos,16.0,4036.0,552.0,2020-06,4,0,0,0
Altinópolis,3501004,Ribeirão Preto,1.0,15553.0,2980.0,2020-02,0,0,0,0
Altinópolis,3501004,Ribeirão Preto,1.0,15553.0,2980.0,2020-03,0,0,0,0
Altinópolis,3501004,Ribeirão Preto,1.0,15553.0,2980.0,2020-04,0,0,0,0
Altinópolis,3501004,Ribeirão Preto,1.0,15553.0,2980.0,2020-05,39,4,0,0
Altinópolis,3501004,Ribeirão Preto,1.0,15553.0,2980.0,2020-06,18,1,0,0
Alto Alegre,3501103,Araçatuba,7.0,4017.0,964.0,2020-02,0,0,0,0
Alto Alegre,3501103,Araçatuba,7.0,4017.0,964.0,2020-03,0,0,0,0
Alto Alegre,3501103,Araçatuba,7.0,4017.0,964.0,2020-04,0,0,0,0
Alto Alegre,3501103,Araçatuba,7.0,4017.0,964.0,2020-05,23,1,20,1
Alto Alegre,3501103,Araçatuba,7.0,4017.0,964.0,2020-06,4,0,4,0
Alumínio,3501152,Sorocaba,6.0,17972.0,2230.0,2020-02,0,0,0,0
Alumínio,3501152,Sorocaba,6.0,17972.0,2230.0,2020-03,0,0,0,0
Alumínio,3501152,Sorocaba,6.0,17972.0,2230.0,2020-04,0,0,0,0
Alumínio,3501152,Sorocaba,6.0,17972.0,2230.0,2020-05,161,11,17,1
Alumínio,3501152,Sorocaba,6.0,17972.0,2230.0,2020-06,44,0,4,0
Alvinlândia,3501509,Marília,5.0,3176.0,505.0,2020-02,0,0,0,0
Alvinlândia,3501509,Marília,5.0,3176.0,505.0,2020-03,0,0,0,0
Alvinlândia,3501509,Marília,5.0,3176.0,505.0,2020-04,0,0,0,0
Alvinlândia,3501509,Marília,5.0,3176.0,505.0,2020-05,0,0,0,0
Alvinlândia,3501509,Marília,5.0,3176.0,505.0,2020-06,3,1,0,0
Americana,3501608,Campinas,3.0,233458.0,40276.0,2020-02,0,0,0,0
Americana,3501608,Campinas,3.0,233458.0,40276.0,2020-03,2,2,0,0
Americana,3501608,Campinas,3.0,233458.0,40276.0,2020-04,520,49,68,3
Americana,3501608,Campinas,3.0,233458.0,40276.0,2020-05,2295,70,127,3
Americana,3501608,Campinas,3.0,233458.0,40276.0,2020-06,532,24,29,2
Amparo,3501905,Campinas,3.0,69639.0,12727.0,2020-02,0,0,0,0
